 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               4;
   608    5.383               0              45;
   609    5.392               0              45;
   610    5.401               0              45;
   611    5.410               0              45;
   612    5.419               0              45;
   613    5.428               0              45;
   614    5.436               0              45;
   615    5.445               0              45;
   616    5.454               0              45;
   617    5.463               0              45;
   618    5.472               0              45;
   619    5.481               0              45;
   620    5.490               0              45;
   621    5.498               0              45;
   622    5.507               0              45;
   623    5.516               0              45;
   624    5.525               0              45;
   625    5.534               0              45;
   626    5.543               0              45;
   627    5.552               0              45;
   628    5.560               0              45;
   629    5.569               0              45;
   630    5.578               0              45;
   631    5.587               0              45;
   632    5.596               0              45;
   633    5.605               0              45;
   634    5.614               0              45;
   635    5.622               0              45;
   636    5.631               0              45;
   637    5.640               0              45;
   638    5.649               0              45;
   639    5.658               0              45;
   640    5.667               0              45;
   641    5.676               0              45;
   642    5.684               0              45;
   643    5.693               0              45;
   644    5.702               0              45;
   645    5.711               0              45;
   646    5.720               0              45;
   647    5.729               0              45;
   648    5.738               0              45;
   649    5.746               0              45;
   650    5.755               0              45;
   651    5.764               0              45;
   652    5.773               0              45;
   653    5.782               0              45;
   654    5.791               0              45;
   655    5.799               0              45;
   656    5.808               0              45;
   657    5.817               0              45;
   658    5.826               0              45;
   659    5.835               0              45;
   660    5.844               0              45;
   661    5.853               0              45;
   662    5.861               0              45;
   663    5.870               0              45;
   664    5.879               0              45;
   665    5.888               0              45;
   666    5.897               0              45;
   667    5.906               0              45;
   668    5.915               0              45;
   669    5.923               0              45;
   670    5.932               0              45;
   671    5.941               0              45;
   672    5.950               0              45;
   673    5.959               0              45;
   674    5.968               0              45;
   675    5.977               0              45;
   676    5.985               0              45;
   677    5.994               0              45]
